4443AA;1;39;oneven
4443AB;2;16;even
4443AC;4;4;False
4443AD;1;24;False
4443AE;25;44;False
4443AG;45;49;False
4443AH;1;21;oneven
4443AJ;2;26;even
4443AK;1;34;False
4443AL;1;25;oneven
4443AM;2;40;even
4443AN;1;49;oneven
4443AP;2;44;even
4443AR;1;47;False
4443AS;1;15;False
4443NE;18;20;False
4443RA;23;23;False
4443RB;1;5;False
4443RC;3;40;False
4443RD;2;11;False
4443RE;4;10;False
4443RG;1;1;False
4443RH;1;3;False
4443RJ;2;2;False
4443RK;1;6;False
4443RL;1;8;False
4443RM;1;1;False
4443RP;5;24;False
4443RR;2;2;False
